Challenge Area,Challenge Sub-Area,Challenge Component,Benchmark ID,Dataset,Data Producer,Year,Producer ID,Indicator Title,Indicator ID,Source Indicator ID,Indicator Question,Indicator Description,Value Max,Possible Text Values,Qual. Assessment,URL(s),Core vs Context,Cluster?,Primary,Secondary,Rest,All
Anti-Corruption,Lobbying,Transparency,ac_lob_03,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,Data Online,ac_lob_online,A.PI.LOBBY.a.ONLINE,Is this data available online in any form?,"From GDB: A lobbying register should include details on lobbyists, lobbying clients, and public officials, and track the contacts and transactions that occur between lobbyists and public officials, including when, with regard to what matters, how much money is expended, and for what goals. A register should include both regular updates and updates that are responsive to lobbying activities. The best lobbying registers are rigorously reviewed and validated, either by an agency with a mandate to investigate reports and sanction violations, through cross-verification of a public official's and lobbyist's records, or both.

Although lobbying scandals occur worldwide, relatively few countries currently have frameworks that govern lobbying activities. The frameworks—and consequently datasets—that do exist appear across levels of government; in some cases multiple frameworks exist at the same level of government.

",1,No; Yes,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/A.PI.LOBBY/
Data: https://globaldatabarometer.org/",Core,0,RCID_027,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Lobbying,Transparency,ac_lob_04,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,High-Value Data,ac_lob_highval,A.PI.LOBBY.e.e1.LOBBYID; A.PI.LOBBY.e.e1.CLIENTID; A.PI.LOBBY.e.e2.INTERACTION; A.PI.LOBBY.e.e2.GOALS; A.PI.LOBBY.e.e2.TIMING; A.PI.LOBBY.e.e2.TOPICS; A.PI.LOBBY.e.e2.COSTS,How many high-value elements does the dataset cover?,"From GDB: A lobbying register should include details on lobbyists, lobbying clients, and public officials, and track the contacts and transactions that occur between lobbyists and public officials, including when, with regard to what matters, how much money is expended, and for what goals. A register should include both regular updates and updates that are responsive to lobbying activities. The best lobbying registers are rigorously reviewed and validated, either by an agency with a mandate to investigate reports and sanction violations, through cross-verification of a public official's and lobbyist's records, or both.

Although lobbying scandals occur worldwide, relatively few countries currently have frameworks that govern lobbying activities. The frameworks—and consequently datasets—that do exist appear across levels of government; in some cases multiple frameworks exist at the same level of government.

",7,0; 1; 2; 3; 4; 5; 6; 7,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/A.PI.LOBBY/
Data: https://globaldatabarometer.org/",Core,1,RCID_026,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Lobbying,Governance,ac_lob_05,Lobby Transparency Across the EU,Transparency International,2024,TI,Independent Oversight,ac_lob_oversight,Independent authority overseeing lobby activities,Is there an independent authority overseeing lobby activities?,"From Transparency International: The (independent) authority must be vested with investigative and sanctioning powers to pursue organisations that breach ethics rules. Independent oversight ensures that all lobby organisations operate on a level-playing field, enforcing a culture of integrity outside of the political arena. Out of all systems surveyed, only five EU Member States have a central binding code overseen by an independent authority. Source",1,No; Yes,0,https://transparency.eu/wp-content/uploads/2024/02/Transparency-international-EU_briefing_Lobby-transparency-in-the-EU.pdf,Core,0,RCID_023,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Lobbying,Governance,ac_lob_06,Lobby Transparency Across the EU,Transparency International,2024,TI,Code of Conducts,ac_lob_conduct,Code of Conduct,An enforceable Code of Conduct governs lobbyist interactions with public officials.,"From Transparency International: It is vital for lobbyists to follow a set of standards and guidelines that govern their interactions with public officials. In most instances, this takes the form of a Code of Conduct that not only professionalises their activities, but also seeks to prevent unethical behaviour. Source",1,No; Yes,0,https://transparency.eu/wp-content/uploads/2024/02/Transparency-international-EU_briefing_Lobby-transparency-in-the-EU.pdf,Core,0,RCID_022,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Lobbying,Transparency,ac_lob_07,Lobby Transparency Across the EU,Transparency International,2024,TI,Public Access,ac_lob_access,Public access to register,Is there public access to the register?,From Transparency International: A central register of interest representatives informs the public about which organisations seek to influence the decision-making process. Source,1,No; Yes,0,https://transparency.eu/wp-content/uploads/2024/02/Transparency-international-EU_briefing_Lobby-transparency-in-the-EU.pdf,Core,0,RCID_026,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Lobbying,Transparency,ac_lob_08,Lobby Transparency Across the EU,Transparency International,2024,TI,Voluntary/Mandatory,ac_lob_mandat,Mandatory / Voluntary,"Voluntary, partially mandatory, or mandatory lobbying disclosure provisions","From Transparency International: An open public mandatory register in which organisations must disclose key information pertaining to them, such as basic identification, interests represented, financial and human resources involved, sources of funding, clients and associated organisations wherever applicable. Source",2,No; Partial; Yes,0,https://transparency.eu/wp-content/uploads/2024/02/Transparency-international-EU_briefing_Lobby-transparency-in-the-EU.pdf,Core,0,RCID_022,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Lobbying,Transparency,ac_lob_10,Lobby Transparency Across the EU,Transparency International,2024,TI,Key Information,ac_lob_keyinfo,Limited or Key information available,Is key information available on the register?,"From Transparency International: An open public mandatory register in which organisations must disclose key information pertaining to them, such as basic identification, interests represented, financial and human resources involved, sources of funding, clients and associated organisations wherever applicable.",1,No; Yes,1,https://transparency.eu/wp-content/uploads/2024/02/Transparency-international-EU_briefing_Lobby-transparency-in-the-EU.pdf,Core,0,RCID_026,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Lobbying,Transparency,ac_lob_11,Lobby Transparency Across the EU,Transparency International,2024,TI,Interactions,ac_lob_interact,Publication of interactions,Is there proactive publication of interactions between decision-makers and interest representatives?,From Transparency International: A lobbying footprint in the form of open and accessible pro-active publication of meetings or lobbying activities. Source,1,No; Yes,0,https://transparency.eu/wp-content/uploads/2024/02/Transparency-international-EU_briefing_Lobby-transparency-in-the-EU.pdf,Core,0,RCID_029,RCID_031,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Lobbying,Governance,ac_lob_12,OECD Public Integrity Indicators,OECD,2023,OECD,Supervisory Body,ac_lob_supbody,PII_3137_1,A supervisory function in the central government oversees transparency of lobbying activities and issues.,From OECD: Review of information submitted by national authorities regarding procedures related to lobbying activities and prevention of undue influence and their implementation to fulfil the criteria below.,1,No; Yes,0,https://oecd-public-integrity-indicators.org/indicators/1000097/subindicators/1000408,Core,0,RCID_023,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Lobbying,Transparency,ac_lob_13,OECD Public Integrity Indicators,OECD,2023,OECD,Online Register,ac_lob_onlinereg,PII_3137_7,The lobby register is accessible online.,From OECD: Review of information submitted by national authorities regarding procedures related to lobbying activities and prevention of undue influence and their implementation to fulfil the criteria below.,1,No; Yes,0,https://oecd-public-integrity-indicators.org/indicators/1000097/subindicators/1000408,Core,0,RCID_026,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Lobbying,Transparency,ac_lob_14,OECD Public Integrity Indicators,OECD,2023,OECD,Goals,ac_lob_goals,PII_3137_4,"The lobbying register allows sorting by lobbyist’s name, company or organisation, domain of intervention, and piece of legislation or regulation targeted.",From OECD: Review of information submitted by national authorities regarding procedures related to lobbying activities and prevention of undue influence and their implementation to fulfil the criteria below.,1,No; Yes,0,https://oecd-public-integrity-indicators.org/indicators/1000097/subindicators/1000408,Core,0,RCID_026,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Lobbying,Transparency,ac_lob_15,OECD Public Integrity Indicators,OECD,2023,OECD,Activities,ac_lob_activities,PII_3137_5,"Information disclosed by lobbyists in the register includes their name, organisation, domain of intervention, and type of lobbying activities.",From OECD: Review of information submitted by national authorities regarding procedures related to lobbying activities and prevention of undue influence and their implementation to fulfil the criteria below.,1,No; Yes,0,https://oecd-public-integrity-indicators.org/indicators/1000097/subindicators/1000408,Core,0,RCID_026,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Lobbying,Transparency,ac_lob_16,OECD Public Integrity Indicators,OECD,2023,OECD,Cost,ac_lob_cost,PII_3137_6,"Information disclosed by lobbyists in the register include budget/expenses for lobbying activities, and pieces of legislation and regulation targeted.",From OECD: Review of information submitted by national authorities regarding procedures related to lobbying activities and prevention of undue influence and their implementation to fulfil the criteria below.,1,No; Yes,0,https://oecd-public-integrity-indicators.org/indicators/1000097/subindicators/1000408,Core,0,RCID_026,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Open Contracting,Legal Requirements,ac_oc_01,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,Collection Requirement,ac_oc_colreq,G.PROCUREMENT.OC.a.EXIST_COLLECTION,"Are there operational laws, policies, or regulations requiring collection of this info in any form?","From GDB: Many governments spend a substantial proportion of their budget through procurement: contracting with private sector providers to supply goods and services or undertake public works (e.g., construction projects). Almost all public agencies, from central to local government, will carry out procurement at some point.

Procurement involves a number of stages, from planning, to tender (inviting bids), award (issuing a contract), and implementation (monitoring performance of the contract). In some cases, governments may award contracts without a bidding process, or through some special negotiated procedure.

Procurement laws, regulations, policies and guidance describe the processes through which governments should enter into contracts and the information on different stages of the procurement that should be disclosed. Many of these require publication of planning and tender documents, and some require publication of details of contract award and performance information. In some cases, countries have different rules for goods and services and for public works; there may also be different rules around publishing information related to direct awards and special procedures.

This indicator is specifically focused on whether national procurement laws, regulations, policies, or guidance support publication of structured and open data. In general, this will only be possible where there are requirements for procuring entities either to use common data standards/systems, or to submit data to a central platform.",1,No; Yes,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/G.PROCUREMENT.OC/
Data: https://globaldatabarometer.org/",Core,0,RCID_034,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Open Contracting,Legal Requirements,ac_oc_02,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,Publication Requirement,ac_oc_pubreq,G.PROCUREMENT.OC.a.EXIST_PUBLICATION,"Are there operational laws, policies, or regulations requiring publication of this information in any form?","From GDB: Many governments spend a substantial proportion of their budget through procurement: contracting with private sector providers to supply goods and services or undertake public works (e.g., construction projects). Almost all public agencies, from central to local government, will carry out procurement at some point.

Procurement involves a number of stages, from planning, to tender (inviting bids), award (issuing a contract), and implementation (monitoring performance of the contract). In some cases, governments may award contracts without a bidding process, or through some special negotiated procedure.

Procurement laws, regulations, policies and guidance describe the processes through which governments should enter into contracts and the information on different stages of the procurement that should be disclosed. Many of these require publication of planning and tender documents, and some require publication of details of contract award and performance information. In some cases, countries have different rules for goods and services and for public works; there may also be different rules around publishing information related to direct awards and special procedures.

This indicator is specifically focused on whether national procurement laws, regulations, policies, or guidance support publication of structured and open data. In general, this will only be possible where there are requirements for procuring entities either to use common data standards/systems, or to submit data to a central platform.",1,No; Yes,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/G.PROCUREMENT.OC/
Data: https://globaldatabarometer.org/",Core,0,RCID_034,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Open Contracting,Transparency,ac_oc_03,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,Data Online,ac_pp_online,A.PROCUREMENT.OC.a.ONLINE,Is this data available online in any form?,"From GDB: Governments enter into many different contracts for the provision of goods, services, and public works. They may publish data about these contracts in tender lists or through contract finder websites, procurement portals, or open data portals.

In some countries, public procurement data may be held in a single system. In others, different stages of the procurement process—planning, tender (inviting bids), award (issuing a contract), implementation (monitoring performance of the contract)—may be held in different datasets, and a government may publish ""notices,"" with or without identifiers, that make it possible to connect data from different stages of the procurement process.",1,No; Yes,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/A.PROCUREMENT.OC/
Data: https://globaldatabarometer.org/",Core,0,RCID_035,RCID_036,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Open Contracting,Transparency,ac_oc_04,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,High-Value Data,ac_pp_highval,"A.PROCUREMENT.OC.e.e1.GOODS; A.PROCUREMENT.OC.e.e1.WORKS; A.PROCUREMENT.OC.e.e1.PLANNING; A.PROCUREMENT.OC.e.e1.TENDER; A.PROCUREMENT.OC.e.e1.AWARD; A.PROCUREMENT.OC.e.e1.IMPLEMENTATION; A.PROCUREMENT.OC.e.e2.PROCESSID; A.PROCUREMENT.OC.e.e2.COMPANYID; A.PROCUREMENT.OC.e.e2.DATES; A.PROCUREMENT.OC.e.e2.VALUES; A.PROCUREMENT.OC.e.e2.SPENDLINK; A.PROCUREMENT.OC.e.e2.ITEMS; A.PROCUREMENT.OC.e.e2.STANDARDS; A.PROCUREMENT.OC.e.e2.DOCUMENTS
 ",How many high-value elements does the dataset cover?,"From GDB: Governments enter into many different contracts for the provision of goods, services, and public works. They may publish data about these contracts in tender lists or through contract finder websites, procurement portals, or open data portals.

In some countries, public procurement data may be held in a single system. In others, different stages of the procurement process—planning, tender (inviting bids), award (issuing a contract), implementation (monitoring performance of the contract)—may be held in different datasets, and a government may publish ""notices,"" with or without identifiers, that make it possible to connect data from different stages of the procurement process.",14,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/A.PROCUREMENT.OC/
Data: https://globaldatabarometer.org/",Core,1,RCID_038,RCID_035,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Open Contracting,Transparency,ac_oc_05,T-Index,European Research Centre for Anti-Corruption and State-Building (ERCAS),2024,ERCAS,Procurement Portal,ac_oc_ppp,general_df_q3,Is there a centralized public procurement portal where both tenders and contract awards are posted?,"From the T-Index: 
Scores are determined as follows:
• Yes = Calls for bids AND award notices are published
• Partial = Only call for bids OR award notices are published
• No = No procurement portal exists OR information published is minimal (selected procedures only)
Note: A full score requires that award notices include at least the winner's name and contract value.",2,No; Partial; Yes,0,https://corruptionrisk.org/transparency/,Core,0,,,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Open Contracting,Transparency,ac_oc_06,OECD Public Integrity Indicators,OECD,2023,OECD,Public Tenders,ac_oc_pubtend,PII_3138_9,"Public tenders announced by the central government, aggregated on one website.",From OECD: Assessment of websites of state administration bodies to determine the level of disclosure of the relevant information to fulfil the criteria below. National authorities are asked to provide reference to such datasets. This is validated by the OECD.,1,No; Yes,0,https://oecd-public-integrity-indicators.org/indicators/1000097/subindicators/1000409,Core,0,,,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Open Contracting,Transparency,ac_oc_07,OCP Data Registry,OCP,2025,OCP,OCDS Data,ac_oc_ocds,NA,A government institution in the country regularly publishes data in the OCDS format.,"From OCP: 
The Open Contracting Data Standard (OCDS) is a free, non-proprietary open data standard for public contracting, implemented by over 30 governments around the world. It describes how to publish data and documents about contracting processes for goods, works and services.

There are three concepts behind the Open Contracting Data Standard:

Open Contracting is about publishing and using open, accessible and timely information on public contracting to engage citizens and businesses to fix problems and deliver results. These results include improving the efficiency, effectiveness and integrity of a public contracting system.

Open Data is data that can be freely used, modified, and shared by anyone for any purpose. This requires data to be accessible and machine-readable, and for permission to be granted for reuse.

A Data Standard defines the structure and meaning of data in order to resolve ambiguity and help systems and people interpret it.

",1,No; Yes,1,https://data.open-contracting.org/en/,Core,0,RCID_035,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Open Contracting,Transparency,ac_oc_08,OCP Data Registry,OCP,2025,OCP,OCDS Contracts,ac_oc_contract,Contracts,"Does the OCDS data include information on planning, tenders, and awards?","OCP uses the following definitions: 
planning - information about the goals, budgets and projects a contracting process relates to;
tender - information about how a tender will take place, or has taken place;
awards - information on awards made as part of a contracting process;",1,No; Yes,1,https://data.open-contracting.org/en/,Core,0,RCID_035,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Open Contracting,Transparency,ac_oc_09,OCP Data Registry,OCP,2025,OCP,OCDS Planning,ac_oc_plan,Planning,The OECDS data includes planning activities.,"OCP uses the following definitions: 
planning - information about the goals, budgets and projects a contracting process relates to;
tender - information about how a tender will take place, or has taken place;
awards - information on awards made as part of a contracting process;",1,No; Yes,1,https://data.open-contracting.org/en/,Core,0,,,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Open Contracting,Transparency,ac_oc_07,OECD Public Integrity Indicators,OECD,2023,OECD,Public Tender Results,ac_oc_pubtendresults,PII_3138_10,"Results of all public tenders awarded by the central government, aggregated on one website.",From OECD: Assessment of websites of state administration bodies to determine the level of disclosure of the relevant information to fulfil the criteria below. National authorities are asked to provide reference to such datasets. This is validated by the OECD.,1,No; Yes,0,https://oecd-public-integrity-indicators.org/indicators/1000097/subindicators/1000409,Core,0,RCID_035,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Political Finance,Transparency,ac_pf_01,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,Data Online,ac_pf_online,A.PI.POLFIN.a.ONLINE,Is this data available online in any form?,"From GDB: Political finance data should provide a comprehensive overview of the financial state of political parties and political campaigns, including their income, assets, and liabilities. Further, whether financial support comes from donations, membership fees, or public funding, data should show clearly from whom political parties, candidates, and third parties (that is, non-contestants who seek to influence the election result) raise money, how much money, and how that money is spent.

Political finance data should be available to members of a public for free, have appropriate language coverage, and include both regular updates and updates that are responsive to campaign schedules. If verification is not standard across all data, datasets should show which data have been verified and which have not.

Among other functions, it should be possible to use political finance data to verify that political parties, candidates, and third parties are not receiving financial support from any entities that may be banned under the country's laws (for example, this often includes foreign entities).",1,No; Yes,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/A.PI.POLFIN/
Data: https://globaldatabarometer.org/",Core,0,RCID_252,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Political Finance,Disclosure Requirements,ac_pf_02,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,Collection Requirement,ac_pf_colreq,G.PI.POLFIN.a.EXIST_COLLECTION,"Are there operational laws, policies, or regulations requiring collection of this info in any form?","From GDB: This indicator examines frameworks that require political parties and political campaigns—whether run by candidates or third parties (that is, non-contestants who seek to influence the election result)—to disclose information about how they raise and spend money. Financial support may come from various sources, including donations, membership fees, and public funding.

This indicator is based on the presence and strength of legislation, regulations, or policies that govern whether:

Party and campaign finance data is collected and maintained as structured, open data across the whole country.

Financial disclosures contain structured data on income, spending, assets, and debts.

Financial disclosures are updated in a timely fashion; this includes both regular updates and updates that are responsive to campaign-based schedules.

Financial disclosures are published.

A mandate is given to an independent agency or institution to examine financial reports and/or investigate violations",1,No; Yes,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/G.PI.POLFIN/
Data: https://globaldatabarometer.org/",Core,0,RCID_252,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Political Finance,Disclosure Requirements,ac_pf_03,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,Publication Requirement,ac_pf_pubreq,G.PI.POLFIN.a.EXIST_PUBLICATION,"Are there operational laws, policies, or regulations requiring publication of this information in any form?","From GDB: This indicator examines frameworks that require political parties and political campaigns—whether run by candidates or third parties (that is, non-contestants who seek to influence the election result)—to disclose information about how they raise and spend money. Financial support may come from various sources, including donations, membership fees, and public funding.

This indicator is based on the presence and strength of legislation, regulations, or policies that govern whether:

Party and campaign finance data is collected and maintained as structured, open data across the whole country.

Financial disclosures contain structured data on income, spending, assets, and debts.

Financial disclosures are updated in a timely fashion; this includes both regular updates and updates that are responsive to campaign-based schedules.

Financial disclosures are published.

A mandate is given to an independent agency or institution to examine financial reports and/or investigate violations",1,No; Yes,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/G.PI.POLFIN/
Data: https://globaldatabarometer.org/",Core,0,RCID_252,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Political Finance,Transparency,ac_pf_04,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,High-Value Data,ac_pf_highval,A.PI.POLFIN.e.e1.BREAKDOWN; A.PI.POLFIN.e.e1.INCOME; A.PI.POLFIN.e.e1.SPEND; A.PI.POLFIN.e.e1.AL; A.PI.POLFIN.e.e1.INKIND; A.PI.POLFIN.e.e1.THIRDPARTY; A.PI.POLFIN.e.e2.DONATIONS; A.PI.POLFIN.e.e2.DONORNAME; A.PI.POLFIN.e.e2.DONORS; A.PI.POLFIN.e.e2.DONORID; A.PI.POLFIN.e.e2.THIRDPARTY,How many high-value elements does the dataset cover?,"From GDB: Political finance data should provide a comprehensive overview of the financial state of political parties and political campaigns, including their income, assets, and liabilities. Further, whether financial support comes from donations, membership fees, or public funding, data should show clearly from whom political parties, candidates, and third parties (that is, non-contestants who seek to influence the election result) raise money, how much money, and how that money is spent.

Political finance data should be available to members of a public for free, have appropriate language coverage, and include both regular updates and updates that are responsive to campaign schedules. If verification is not standard across all data, datasets should show which data have been verified and which have not.

Among other functions, it should be possible to use political finance data to verify that political parties, candidates, and third parties are not receiving financial support from any entities that may be banned under the country's laws (for example, this often includes foreign entities).",11,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/A.PI.POLFIN/
Data: https://globaldatabarometer.org/",Core,1,RCID_252,RCID_251,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Political Finance,Transparency,ac_pf_08,OECD Public Integrity Indicators,OECD,2023,OECD,Public Reports,ac_pf_pubreports,PII_3136_6,Financial reports from all political parties are public.,From OECD: Review of documentation provided by the national authorities and the body responsible for political finance.,1,No; Yes,0,https://oecd-public-integrity-indicators.org/indicators/1000097/subindicators/1000407,Core,0,RCID_252,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
